"NomeCidade","CodEstadoIBGE","NomeEstado","Regiao","ID_Regiao"
"Uarini",13,"Amazonas","Norte",1
"Urucará",13,"Amazonas","Norte",1
"Urucurituba",13,"Amazonas","Norte",1
"Amajari",14,"Roraima","Norte",1
"Alto Alegre",14,"Roraima","Norte",1
"Boa Vista",14,"Roraima","Norte",1
"Bonfim",14,"Roraima","Norte",1
"Cantá",14,"Roraima","Norte",1
"Caracaraí",14,"Roraima","Norte",1
"Caroebe",14,"Roraima","Norte",1
"Iracema",14,"Roraima","Norte",1
"Mucajaí",14,"Roraima","Norte",1
"Normandia",14,"Roraima","Norte",1
"Pacaraima",14,"Roraima","Norte",1
"Rorainópolis",14,"Roraima","Norte",1
"São João da Baliza",14,"Roraima","Norte",1
"São Luiz",14,"Roraima","Norte",1
"Uiramutã",14,"Roraima","Norte",1
"Abaetetuba",15,"Pará","Norte",1
"Abel Figueiredo",15,"Pará","Norte",1
"Acará",15,"Pará","Norte",1
"Afuá",15,"Pará","Norte",1
"Água Azul do Norte",15,"Pará","Norte",1
"Alenquer",15,"Pará","Norte",1
"Almeirim",15,"Pará","Norte",1
"Altamira",15,"Pará","Norte",1
"Anajás",15,"Pará","Norte",1
"Ananindeua",15,"Pará","Norte",1
"Anapu",15,"Pará","Norte",1
"Augusto Corrêa",15,"Pará","Norte",1
"Aurora do Pará",15,"Pará","Norte",1
"Aveiro",15,"Pará","Norte",1
"Bagre",15,"Pará","Norte",1
"Baião",15,"Pará","Norte",1
"Bannach",15,"Pará","Norte",1
"Barcarena",15,"Pará","Norte",1
"Belém",15,"Pará","Norte",1
"Belterra",15,"Pará","Norte",1
"Benevides",15,"Pará","Norte",1
"Bom Jesus do Tocantins",15,"Pará","Norte",1
"Bonito",15,"Pará","Norte",1
"Bragança",15,"Pará","Norte",1
"Brasil Novo",15,"Pará","Norte",1
"Brejo Grande do Araguaia",15,"Pará","Norte",1
"Breu Branco",15,"Pará","Norte",1
"Breves",15,"Pará","Norte",1
"Bujaru",15,"Pará","Norte",1
"Cachoeira do Piriá",15,"Pará","Norte",1
"Cachoeira do Arari",15,"Pará","Norte",1
"Cametá",15,"Pará","Norte",1
"Canaã dos Carajás",15,"Pará","Norte",1
"Capanema",15,"Pará","Norte",1
"Capitão Poço",15,"Pará","Norte",1
"Castanhal",15,"Pará","Norte",1
"Chaves",15,"Pará","Norte",1
"Colares",15,"Pará","Norte",1
"Conceição do Araguaia",15,"Pará","Norte",1
"Concórdia do Pará",15,"Pará","Norte",1
"Cumaru do Norte",15,"Pará","Norte",1
"Curionópolis",15,"Pará","Norte",1
"Curralinho",15,"Pará","Norte",1
"Curuá",15,"Pará","Norte",1
"Curuçá",15,"Pará","Norte",1
"Dom Eliseu",15,"Pará","Norte",1
"Eldorado do Carajás",15,"Pará","Norte",1
"Faro",15,"Pará","Norte",1
"Floresta do Araguaia",15,"Pará","Norte",1
"Garrafão do Norte",15,"Pará","Norte",1
"Goianésia do Pará",15,"Pará","Norte",1
"Gurupá",15,"Pará","Norte",1
"Igarapé-Açu",15,"Pará","Norte",1
"Igarapé-Miri",15,"Pará","Norte",1
"Inhangapi",15,"Pará","Norte",1
"Ipixuna do Pará",15,"Pará","Norte",1
"Irituia",15,"Pará","Norte",1
"Itaituba",15,"Pará","Norte",1
"Itupiranga",15,"Pará","Norte",1
"Jacareacanga",15,"Pará","Norte",1
"Jacundá",15,"Pará","Norte",1
"Juruti",15,"Pará","Norte",1
"Limoeiro do Ajuru",15,"Pará","Norte",1
"Mãe do Rio",15,"Pará","Norte",1
"Magalhães Barata",15,"Pará","Norte",1
"Marabá",15,"Pará","Norte",1
"Maracanã",15,"Pará","Norte",1
"Marapanim",15,"Pará","Norte",1
"Marituba",15,"Pará","Norte",1
"Medicilândia",15,"Pará","Norte",1
"Melgaço",15,"Pará","Norte",1
"Mocajuba",15,"Pará","Norte",1
"Moju",15,"Pará","Norte",1
"Mojuí dos Campos",15,"Pará","Norte",1
"Monte Alegre",15,"Pará","Norte",1
"Muaná",15,"Pará","Norte",1
"Nova Esperança do Piriá",15,"Pará","Norte",1
"Nova Ipixuna",15,"Pará","Norte",1
"Nova Timboteua",15,"Pará","Norte",1
"Novo Progresso",15,"Pará","Norte",1
"Novo Repartimento",15,"Pará","Norte",1
"Óbidos",15,"Pará","Norte",1
"Oeiras do Pará",15,"Pará","Norte",1
"Oriximiná",15,"Pará","Norte",1
"Ourém",15,"Pará","Norte",1
"Ourilândia do Norte",15,"Pará","Norte",1
"Pacajá",15,"Pará","Norte",1
"Palestina do Pará",15,"Pará","Norte",1
"Paragominas",15,"Pará","Norte",1
"Parauapebas",15,"Pará","Norte",1
"Pau D'Arco",15,"Pará","Norte",1
"Peixe-Boi",15,"Pará","Norte",1
"Piçarra",15,"Pará","Norte",1
"Placas",15,"Pará","Norte",1
"Ponta de Pedras",15,"Pará","Norte",1
"Portel",15,"Pará","Norte",1
"Porto de Moz",15,"Pará","Norte",1
"Prainha",15,"Pará","Norte",1
"Primavera",15,"Pará","Norte",1
"Quatipuru",15,"Pará","Norte",1
"Redenção",15,"Pará","Norte",1
"Rio Maria",15,"Pará","Norte",1
"Rondon do Pará",15,"Pará","Norte",1
"Rurópolis",15,"Pará","Norte",1
"Salinópolis",15,"Pará","Norte",1
"Salvaterra",15,"Pará","Norte",1
"Santa Bárbara do Pará",15,"Pará","Norte",1
"Santa Cruz do Arari",15,"Pará","Norte",1
"Santa Izabel do Pará",15,"Pará","Norte",1
"Santa Luzia do Pará",15,"Pará","Norte",1
"Santa Maria das Barreiras",15,"Pará","Norte",1
"Santa Maria do Pará",15,"Pará","Norte",1
"Santana do Araguaia",15,"Pará","Norte",1
"Santarém",15,"Pará","Norte",1
"Santarém Novo",15,"Pará","Norte",1
"Santo Antônio do Tauá",15,"Pará","Norte",1
"São Caetano de Odivelas",15,"Pará","Norte",1
"São Domingos do Araguaia",15,"Pará","Norte",1
"São Domingos do Capim",15,"Pará","Norte",1
"São Félix do Xingu",15,"Pará","Norte",1
"São Francisco do Pará",15,"Pará","Norte",1
"São Geraldo do Araguaia",15,"Pará","Norte",1
"São João da Ponta",15,"Pará","Norte",1
"São João de Pirabas",15,"Pará","Norte",1
"São João do Araguaia",15,"Pará","Norte",1
"São Miguel do Guamá",15,"Pará","Norte",1
"São Sebastião da Boa Vista",15,"Pará","Norte",1
"Sapucaia",15,"Pará","Norte",1
"Senador José Porfírio",15,"Pará","Norte",1
"Soure",15,"Pará","Norte",1
"Tailândia",15,"Pará","Norte",1
"Terra Alta",15,"Pará","Norte",1
"Terra Santa",15,"Pará","Norte",1
"Tomé-Açu",15,"Pará","Norte",1
"Tracuateua",15,"Pará","Norte",1
"Trairão",15,"Pará","Norte",1
"Tucumã",15,"Pará","Norte",1
"Tucuruí",15,"Pará","Norte",1
"Ulianópolis",15,"Pará","Norte",1
"Uruará",15,"Pará","Norte",1
"Vigia",15,"Pará","Norte",1
"Viseu",15,"Pará","Norte",1
"Vitória do Xingu",15,"Pará","Norte",1
"Xinguara",15,"Pará","Norte",1
"Serra do Navio",16,"Amapá","Norte",1
"Amapá",16,"Amapá","Norte",1
"Pedra Branca do Amapari",16,"Amapá","Norte",1
"Calçoene",16,"Amapá","Norte",1
"Cutias",16,"Amapá","Norte",1
"Ferreira Gomes",16,"Amapá","Norte",1
"Itaubal",16,"Amapá","Norte",1
"Laranjal do Jari",16,"Amapá","Norte",1
"Macapá",16,"Amapá","Norte",1
"Mazagão",16,"Amapá","Norte",1
"Oiapoque",16,"Amapá","Norte",1
"Porto Grande",16,"Amapá","Norte",1
"Pracuúba",16,"Amapá","Norte",1
"Santana",16,"Amapá","Norte",1
"Tartarugalzinho",16,"Amapá","Norte",1
"Vitória do Jari",16,"Amapá","Norte",1
"Abreulândia",17,"Tocantins","Norte",1
"Aguiarnópolis",17,"Tocantins","Norte",1
"Aliança do Tocantins",17,"Tocantins","Norte",1
"Almas",17,"Tocantins","Norte",1
"Alvorada",17,"Tocantins","Norte",1
"Ananás",17,"Tocantins","Norte",1
"Angico",17,"Tocantins","Norte",1
"Aparecida do Rio Negro",17,"Tocantins","Norte",1
"Aragominas",17,"Tocantins","Norte",1
"Araguacema",17,"Tocantins","Norte",1
"Araguaçu",17,"Tocantins","Norte",1
"Araguaína",17,"Tocantins","Norte",1
"Araguanã",17,"Tocantins","Norte",1
"Araguatins",17,"Tocantins","Norte",1
"Arapoema",17,"Tocantins","Norte",1
"Arraias",17,"Tocantins","Norte",1
"Augustinópolis",17,"Tocantins","Norte",1
"Aurora do Tocantins",17,"Tocantins","Norte",1
"Axixá do Tocantins",17,"Tocantins","Norte",1
"Babaçulândia",17,"Tocantins","Norte",1
"Bandeirantes do Tocantins",17,"Tocantins","Norte",1
"Barra do Ouro",17,"Tocantins","Norte",1
"Barrolândia",17,"Tocantins","Norte",1
"Bernardo Sayão",17,"Tocantins","Norte",1
"Bom Jesus do Tocantins",17,"Tocantins","Norte",1
"Brasilândia do Tocantins",17,"Tocantins","Norte",1
"Brejinho de Nazaré",17,"Tocantins","Norte",1
"Buriti do Tocantins",17,"Tocantins","Norte",1
"Cachoeirinha",17,"Tocantins","Norte",1
"Campos Lindos",17,"Tocantins","Norte",1
"Cariri do Tocantins",17,"Tocantins","Norte",1
"Carmolândia",17,"Tocantins","Norte",1
"Carrasco Bonito",17,"Tocantins","Norte",1
"Caseara",17,"Tocantins","Norte",1
"Centenário",17,"Tocantins","Norte",1
"Chapada de Areia",17,"Tocantins","Norte",1
"Chapada da Natividade",17,"Tocantins","Norte",1
"Colinas do Tocantins",17,"Tocantins","Norte",1
"Combinado",17,"Tocantins","Norte",1
"Conceição do Tocantins",17,"Tocantins","Norte",1
"Couto Magalhães",17,"Tocantins","Norte",1
"Cristalândia",17,"Tocantins","Norte",1
"Crixás do Tocantins",17,"Tocantins","Norte",1
"Darcinópolis",17,"Tocantins","Norte",1
"Dianópolis",17,"Tocantins","Norte",1
"Divinópolis do Tocantins",17,"Tocantins","Norte",1
"Dois Irmãos do Tocantins",17,"Tocantins","Norte",1
"Dueré",17,"Tocantins","Norte",1
"Esperantina",17,"Tocantins","Norte",1
"Fátima",17,"Tocantins","Norte",1
"Figueirópolis",17,"Tocantins","Norte",1
"Filadélfia",17,"Tocantins","Norte",1
"Formoso do Araguaia",17,"Tocantins","Norte",1
"Fortaleza do Tabocão",17,"Tocantins","Norte",1
"Goianorte",17,"Tocantins","Norte",1
"Goiatins",17,"Tocantins","Norte",1
"Guaraí",17,"Tocantins","Norte",1
"Gurupi",17,"Tocantins","Norte",1
"Ipueiras",17,"Tocantins","Norte",1
"Itacajá",17,"Tocantins","Norte",1
"Itaguatins",17,"Tocantins","Norte",1
"Itapiratins",17,"Tocantins","Norte",1
"Itaporã do Tocantins",17,"Tocantins","Norte",1
"Jaú do Tocantins",17,"Tocantins","Norte",1
"Juarina",17,"Tocantins","Norte",1
"Lagoa da Confusão",17,"Tocantins","Norte",1
"Lagoa do Tocantins",17,"Tocantins","Norte",1
"Lajeado",17,"Tocantins","Norte",1
"Lavandeira",17,"Tocantins","Norte",1
"Lizarda",17,"Tocantins","Norte",1
"Luzinópolis",17,"Tocantins","Norte",1
"Marianópolis do Tocantins",17,"Tocantins","Norte",1
"Mateiros",17,"Tocantins","Norte",1
"Maurilândia do Tocantins",17,"Tocantins","Norte",1
"Miracema do Tocantins",17,"Tocantins","Norte",1
"Miranorte",17,"Tocantins","Norte",1
"Monte do Carmo",17,"Tocantins","Norte",1
"Monte Santo do Tocantins",17,"Tocantins","Norte",1
"Palmeiras do Tocantins",17,"Tocantins","Norte",1
"Muricilândia",17,"Tocantins","Norte",1
"Natividade",17,"Tocantins","Norte",1
"Nazaré",17,"Tocantins","Norte",1
"Nova Olinda",17,"Tocantins","Norte",1
"Nova Rosalândia",17,"Tocantins","Norte",1
"Novo Acordo",17,"Tocantins","Norte",1
"Novo Alegre",17,"Tocantins","Norte",1
"Novo Jardim",17,"Tocantins","Norte",1
"Oliveira de Fátima",17,"Tocantins","Norte",1
"Palmeirante",17,"Tocantins","Norte",1
"Palmeirópolis",17,"Tocantins","Norte",1
"Paraíso do Tocantins",17,"Tocantins","Norte",1
"Paranã",17,"Tocantins","Norte",1
"Pau D'Arco",17,"Tocantins","Norte",1
"Pedro Afonso",17,"Tocantins","Norte",1
"Peixe",17,"Tocantins","Norte",1
"Pequizeiro",17,"Tocantins","Norte",1
"Colméia",17,"Tocantins","Norte",1
"Pindorama do Tocantins",17,"Tocantins","Norte",1
"Piraquê",17,"Tocantins","Norte",1
"Pium",17,"Tocantins","Norte",1
"Ponte Alta do Bom Jesus",17,"Tocantins","Norte",1
"Ponte Alta do Tocantins",17,"Tocantins","Norte",1
"Porto Alegre do Tocantins",17,"Tocantins","Norte",1
"Porto Nacional",17,"Tocantins","Norte",1
"Praia Norte",17,"Tocantins","Norte",1
"Presidente Kennedy",17,"Tocantins","Norte",1
"Pugmil",17,"Tocantins","Norte",1
"Recursolândia",17,"Tocantins","Norte",1
"Riachinho",17,"Tocantins","Norte",1
"Rio da Conceição",17,"Tocantins","Norte",1
"Rio dos Bois",17,"Tocantins","Norte",1
"Rio Sono",17,"Tocantins","Norte",1
"Sampaio",17,"Tocantins","Norte",1
"Sandolândia",17,"Tocantins","Norte",1
"Santa Fé do Araguaia",17,"Tocantins","Norte",1
"Santa Maria do Tocantins",17,"Tocantins","Norte",1
"Santa Rita do Tocantins",17,"Tocantins","Norte",1
"Santa Rosa do Tocantins",17,"Tocantins","Norte",1
"Santa Tereza do Tocantins",17,"Tocantins","Norte",1
"Santa Terezinha do Tocantins",17,"Tocantins","Norte",1
"São Bento do Tocantins",17,"Tocantins","Norte",1
"São Félix do Tocantins",17,"Tocantins","Norte",1
"São Miguel do Tocantins",17,"Tocantins","Norte",1
"São Salvador do Tocantins",17,"Tocantins","Norte",1
"São Sebastião do Tocantins",17,"Tocantins","Norte",1
"São Valério",17,"Tocantins","Norte",1
