"row ID","NomeCidade","CodEstadoIBGE","NomeEstado","Regiao"
"Row118","Novo Aripuanã",13,"Amazonas","Norte"
"Row119","Parintins",13,"Amazonas","Norte"
"Row120","Pauini",13,"Amazonas","Norte"
"Row121","Presidente Figueiredo",13,"Amazonas","Norte"
"Row122","Rio Preto da Eva",13,"Amazonas","Norte"
"Row123","Santa Isabel do Rio Negro",13,"Amazonas","Norte"
"Row124","Santo Antônio do Içá",13,"Amazonas","Norte"
"Row125","São Gabriel da Cachoeira",13,"Amazonas","Norte"
"Row126","São Paulo de Olivença",13,"Amazonas","Norte"
"Row127","São Sebastião do Uatumã",13,"Amazonas","Norte"
"Row128","Silves",13,"Amazonas","Norte"
"Row129","Tabatinga",13,"Amazonas","Norte"
"Row130","Tapauá",13,"Amazonas","Norte"
"Row131","Tefé",13,"Amazonas","Norte"
"Row132","Tonantins",13,"Amazonas","Norte"
"Row133","Uarini",13,"Amazonas","Norte"
"Row134","Urucará",13,"Amazonas","Norte"
"Row135","Urucurituba",13,"Amazonas","Norte"
"Row136","Amajari",14,"Roraima","Norte"
"Row137","Alto Alegre",14,"Roraima","Norte"
"Row138","Boa Vista",14,"Roraima","Norte"
"Row139","Bonfim",14,"Roraima","Norte"
"Row140","Cantá",14,"Roraima","Norte"
"Row141","Caracaraí",14,"Roraima","Norte"
"Row142","Caroebe",14,"Roraima","Norte"
"Row143","Iracema",14,"Roraima","Norte"
"Row144","Mucajaí",14,"Roraima","Norte"
"Row145","Normandia",14,"Roraima","Norte"
"Row146","Pacaraima",14,"Roraima","Norte"
"Row147","Rorainópolis",14,"Roraima","Norte"
"Row148","São João da Baliza",14,"Roraima","Norte"
"Row149","São Luiz",14,"Roraima","Norte"
"Row150","Uiramutã",14,"Roraima","Norte"
"Row151","Abaetetuba",15,"Pará","Norte"
"Row152","Abel Figueiredo",15,"Pará","Norte"
"Row153","Acará",15,"Pará","Norte"
"Row154","Afuá",15,"Pará","Norte"
"Row155","Água Azul do Norte",15,"Pará","Norte"
"Row156","Alenquer",15,"Pará","Norte"
"Row157","Almeirim",15,"Pará","Norte"
"Row158","Altamira",15,"Pará","Norte"
"Row159","Anajás",15,"Pará","Norte"
"Row160","Ananindeua",15,"Pará","Norte"
"Row161","Anapu",15,"Pará","Norte"
"Row162","Augusto Corrêa",15,"Pará","Norte"
"Row163","Aurora do Pará",15,"Pará","Norte"
"Row164","Aveiro",15,"Pará","Norte"
"Row165","Bagre",15,"Pará","Norte"
"Row166","Baião",15,"Pará","Norte"
"Row167","Bannach",15,"Pará","Norte"
"Row168","Barcarena",15,"Pará","Norte"
"Row169","Belém",15,"Pará","Norte"
"Row170","Belterra",15,"Pará","Norte"
"Row171","Benevides",15,"Pará","Norte"
"Row172","Bom Jesus do Tocantins",15,"Pará","Norte"
"Row173","Bonito",15,"Pará","Norte"
"Row174","Bragança",15,"Pará","Norte"
"Row175","Brasil Novo",15,"Pará","Norte"
"Row176","Brejo Grande do Araguaia",15,"Pará","Norte"
"Row177","Breu Branco",15,"Pará","Norte"
"Row178","Breves",15,"Pará","Norte"
"Row179","Bujaru",15,"Pará","Norte"
"Row180","Cachoeira do Piriá",15,"Pará","Norte"
"Row181","Cachoeira do Arari",15,"Pará","Norte"
"Row182","Cametá",15,"Pará","Norte"
"Row183","Canaã dos Carajás",15,"Pará","Norte"
"Row184","Capanema",15,"Pará","Norte"
"Row185","Capitão Poço",15,"Pará","Norte"
"Row186","Castanhal",15,"Pará","Norte"
"Row187","Chaves",15,"Pará","Norte"
"Row188","Colares",15,"Pará","Norte"
"Row189","Conceição do Araguaia",15,"Pará","Norte"
"Row190","Concórdia do Pará",15,"Pará","Norte"
"Row191","Cumaru do Norte",15,"Pará","Norte"
"Row192","Curionópolis",15,"Pará","Norte"
"Row193","Curralinho",15,"Pará","Norte"
"Row194","Curuá",15,"Pará","Norte"
"Row195","Curuçá",15,"Pará","Norte"
"Row196","Dom Eliseu",15,"Pará","Norte"
"Row197","Eldorado do Carajás",15,"Pará","Norte"
"Row198","Faro",15,"Pará","Norte"
"Row199","Floresta do Araguaia",15,"Pará","Norte"
"Row200","Garrafão do Norte",15,"Pará","Norte"
"Row201","Goianésia do Pará",15,"Pará","Norte"
"Row202","Gurupá",15,"Pará","Norte"
"Row203","Igarapé-Açu",15,"Pará","Norte"
"Row204","Igarapé-Miri",15,"Pará","Norte"
"Row205","Inhangapi",15,"Pará","Norte"
"Row206","Ipixuna do Pará",15,"Pará","Norte"
"Row207","Irituia",15,"Pará","Norte"
"Row208","Itaituba",15,"Pará","Norte"
"Row209","Itupiranga",15,"Pará","Norte"
"Row210","Jacareacanga",15,"Pará","Norte"
"Row211","Jacundá",15,"Pará","Norte"
"Row212","Juruti",15,"Pará","Norte"
"Row213","Limoeiro do Ajuru",15,"Pará","Norte"
"Row214","Mãe do Rio",15,"Pará","Norte"
"Row215","Magalhães Barata",15,"Pará","Norte"
"Row216","Marabá",15,"Pará","Norte"
"Row217","Maracanã",15,"Pará","Norte"
"Row218","Marapanim",15,"Pará","Norte"
"Row219","Marituba",15,"Pará","Norte"
"Row220","Medicilândia",15,"Pará","Norte"
"Row221","Melgaço",15,"Pará","Norte"
"Row222","Mocajuba",15,"Pará","Norte"
"Row223","Moju",15,"Pará","Norte"
"Row224","Mojuí dos Campos",15,"Pará","Norte"
"Row225","Monte Alegre",15,"Pará","Norte"
"Row226","Muaná",15,"Pará","Norte"
"Row227","Nova Esperança do Piriá",15,"Pará","Norte"
"Row228","Nova Ipixuna",15,"Pará","Norte"
"Row229","Nova Timboteua",15,"Pará","Norte"
"Row230","Novo Progresso",15,"Pará","Norte"
"Row231","Novo Repartimento",15,"Pará","Norte"
"Row232","Óbidos",15,"Pará","Norte"
"Row233","Oeiras do Pará",15,"Pará","Norte"
"Row234","Oriximiná",15,"Pará","Norte"
"Row235","Ourém",15,"Pará","Norte"
"Row236","Ourilândia do Norte",15,"Pará","Norte"
"Row237","Pacajá",15,"Pará","Norte"
"Row238","Palestina do Pará",15,"Pará","Norte"
"Row239","Paragominas",15,"Pará","Norte"
"Row240","Parauapebas",15,"Pará","Norte"
"Row241","Pau D'Arco",15,"Pará","Norte"
"Row242","Peixe-Boi",15,"Pará","Norte"
"Row243","Piçarra",15,"Pará","Norte"
